iter	Passed	Remaining
0	122	24283
1	122	12175
2	123	8128
3	124	6106
4	125	4894
5	126	4087
6	127	3508
7	128	3080
8	129	2746
9	130	2475
10	131	2255
11	132	2069
12	133	1913
13	133	1780
14	134	1663
15	135	1560
16	136	1469
17	137	1388
18	138	1315
19	138	1247
20	139	1187
21	139	1132
22	140	1082
23	141	1037
24	142	999
25	143	963
26	144	928
27	145	895
28	146	864
29	147	835
30	148	808
31	148	781
32	149	757
33	150	734
34	151	712
35	152	692
36	153	674
37	153	655
38	154	637
39	155	621
40	156	606
41	157	592
42	158	577
43	159	564
44	160	551
45	160	538
46	161	526
47	162	514
48	163	503
49	164	492
50	165	482
51	165	472
52	166	462
53	167	452
54	168	443
55	169	434
56	170	426
57	170	418
58	172	411
59	173	405
60	174	397
61	175	390
62	176	383
63	177	376
64	178	369
65	179	363
66	179	356
67	180	350
68	181	344
69	182	338
70	182	332
71	183	326
72	184	320
73	185	315
74	186	311
75	187	306
76	188	300
77	189	295
78	190	291
79	190	286
80	191	281
81	192	277
82	193	272
83	194	268
84	195	264
85	196	260
86	197	255
87	197	251
88	198	247
89	199	243
90	200	240
91	202	237
92	203	233
93	203	229
94	204	226
95	205	222
96	206	218
97	207	215
98	207	212
99	208	208
100	209	205
101	210	201
102	210	198
103	211	195
104	212	192
105	213	189
106	214	186
107	215	183
108	216	180
109	217	177
110	218	174
111	219	172
112	219	169
113	220	166
114	221	163
115	221	160
116	222	158
117	223	155
118	224	152
119	225	150
120	226	147
121	227	145
122	228	142
123	229	140
124	230	138
125	231	135
126	232	133
127	233	131
128	233	128
129	234	126
130	235	124
131	236	121
132	237	119
133	237	117
134	238	114
135	239	112
136	240	110
137	241	108
138	242	106
139	242	104
140	244	102
141	245	100
142	246	98
143	247	96
144	248	94
145	248	92
146	249	90
147	250	88
148	251	86
149	252	84
150	253	82
151	254	80
152	254	78
153	255	76
154	256	74
155	257	72
156	258	70
157	260	69
158	260	67
159	261	65
160	262	63
161	263	61
162	264	59
163	265	58
164	265	56
165	266	54
166	267	52
167	268	51
168	268	49
169	269	47
170	270	45
171	271	44
172	272	42
173	273	40
174	274	39
175	275	37
176	276	35
177	276	34
178	277	32
179	278	30
180	279	29
181	280	27
182	281	26
183	282	24
184	283	22
185	283	21
186	284	19
187	285	18
188	286	16
189	287	15
190	288	13
191	289	12
192	290	10
193	292	9
194	293	7
195	294	6
196	295	4
197	296	2
198	297	1
199	297	0
